symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HDB,2018-06-20 00:00:00+00:00,105.18,105.34,103.23,104.29,585309,50.5115566367,50.5883949051,49.5750902416,50.0841437692,1170618,0.0,1.0
HDB,2018-06-21 00:00:00+00:00,105.19,105.54,104.51,105.1,523299,50.5163590285,50.6844427405,50.1897963881,50.4731375026,1046598,0.0,1.0
HDB,2018-06-22 00:00:00+00:00,106.78,107.09,105.8,105.9,401776,51.2799393199,51.4288134648,50.8093049265,50.8573288442,803552,0.0,1.0
HDB,2018-06-25 00:00:00+00:00,105.66,106.42,104.57,106.0,494034,50.7420714417,51.1070532162,50.2186107388,50.9053527619,988068,0.0,1.0
HDB,2018-06-26 00:00:00+00:00,105.61,106.07,104.9,105.63,397641,50.7180594828,50.9389695043,50.3770896672,50.7276642664,795282,0.0,1.0
HDB,2018-06-27 00:00:00+00:00,105.17,106.89,105.11,106.02,540488,50.506754245,51.3327656294,50.4779398943,50.9149575454,1080976,0.0,1.0
HDB,2018-06-28 00:00:00+00:00,105.64,105.87,103.92,105.11,526045,50.7324666582,50.8429216689,49.9064552737,50.4779398943,1052090,0.0,1.0
HDB,2018-06-29 00:00:00+00:00,105.02,106.57,104.55,105.77,603617,50.4347183684,51.1790890928,50.2090059552,50.7948977512,1207234,0.0,1.0
HDB,2018-07-02 00:00:00+00:00,103.87,104.65,103.31,104.02,425934,49.8824433149,50.2570298729,49.6135093757,49.9544791914,851868,0.0,1.0
HDB,2018-07-03 00:00:00+00:00,104.53,105.31,103.87,103.9,392358,50.1994011717,50.5739877297,49.8824433149,49.8968504902,784716,0.0,1.0
HDB,2018-07-05 00:00:00+00:00,106.07,106.22,104.84,105.6,350422,50.9389695043,51.0110053808,50.3482753166,50.7132570911,700844,0.0,1.0
HDB,2018-07-06 00:00:00+00:00,106.22,106.55,105.58,106.18,483386,51.0110053808,51.1694843092,50.7036523075,50.9917958137,966772,0.0,1.0
HDB,2018-07-09 00:00:00+00:00,107.37,107.44,106.25,106.65,283132,51.5632804344,51.5968971767,51.0254125561,51.2175082269,566264,0.0,1.0
HDB,2018-07-10 00:00:00+00:00,108.75,108.87,107.14,107.61,701356,52.2260104986,52.2836391999,51.4528254236,51.6785378368,1402712,0.0,1.0
HDB,2018-07-11 00:00:00+00:00,109.57,109.67,108.18,108.32,858164,52.6198066238,52.6678305415,51.9522741677,52.0195076525,1716328,0.0,1.0
HDB,2018-07-12 00:00:00+00:00,111.28,112.1,109.73,110.0,702358,53.4410156164,53.8348117416,52.6966448921,52.8263094699,1404716,0.0,1.0
HDB,2018-07-13 00:00:00+00:00,110.54,111.19,110.27,111.01,294169,53.0856386254,53.3977940905,52.9559740477,53.3113510386,588338,0.0,1.0
