symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HDB,2018-07-09 00:00:00+00:00,107.37,107.44,106.25,106.65,283132,52.0920322425,52.1259937052,51.5486488382,51.7427143397,566264,0.0,1.0
HDB,2018-07-10 00:00:00+00:00,108.75,108.87,107.14,107.61,701356,52.7615582227,52.8197778731,51.9804445791,52.2084715434,1402712,0.0,1.0
HDB,2018-07-11 00:00:00+00:00,109.57,109.67,108.18,108.32,858164,53.1593925007,53.2079088761,52.485014883,52.5529378085,1716328,0.0,1.0
HDB,2018-07-12 00:00:00+00:00,111.28,112.1,109.73,110.0,702358,53.9890225197,54.3868567978,53.2370187014,53.3680129149,1404716,0.0,1.0
HDB,2018-07-13 00:00:00+00:00,110.54,111.19,110.27,111.01,294169,53.6300013419,53.9453577819,53.4990071284,53.8580283062,588338,0.0,1.0
HDB,2018-07-16 00:00:00+00:00,110.67,111.3,109.38,110.11,401601,53.6930726299,53.9987257948,53.0672113875,53.4213809278,803202,0.0,1.0
HDB,2018-07-17 00:00:00+00:00,110.89,111.4,109.61,110.7,378088,53.7998086557,54.0472421702,53.1787990509,53.7076275425,756176,0.0,1.0
HDB,2018-07-18 00:00:00+00:00,110.98,111.21,110.29,110.89,277618,53.8434733936,53.9550610569,53.5087104035,53.7998086557,555236,0.0,1.0
HDB,2018-07-19 00:00:00+00:00,110.17,110.92,110.15,110.54,403428,53.450490753,53.8143635683,53.4407874779,53.6300013419,806856,0.0,1.0
HDB,2018-07-20 00:00:00+00:00,111.45,111.97,110.0,110.25,652484,54.0715003578,54.3237855098,53.3680129149,53.4893038533,1304968,0.0,1.0
HDB,2018-07-23 00:00:00+00:00,109.06,111.0,108.61,111.0,627312,52.9119589863,53.8531766686,52.6936352971,53.8531766686,1254624,0.0,1.0
HDB,2018-07-24 00:00:00+00:00,108.73,109.89,108.1,109.57,461797,52.7518549476,53.314644902,52.4462017827,53.1593925007,923594,0.0,1.0
HDB,2018-07-25 00:00:00+00:00,109.46,109.47,107.82,108.97,621480,53.1060244878,53.1108761254,52.3103559316,52.8682942485,1242960,0.0,1.0
HDB,2018-07-26 00:00:00+00:00,109.24,110.24,109.1,109.4,474952,52.999288462,53.4844522158,52.9313655365,53.0769146626,949904,0.0,1.0
HDB,2018-07-27 00:00:00+00:00,109.65,110.07,109.27,109.84,435002,53.1982056011,53.4019743776,53.0138433746,53.2903867143,870004,0.0,1.0
HDB,2018-07-30 00:00:00+00:00,106.17,109.5,105.32,108.75,1173860,51.5098357379,53.125431038,51.0974465472,52.7615582227,2347720,0.0,1.0
HDB,2018-07-31 00:00:00+00:00,103.34,105.0,103.13,104.0,3048080,50.1368223148,50.942194146,50.0349379265,50.4570303922,6096160,0.0,1.0
HDB,2018-08-01 00:00:00+00:00,103.67,104.39,103.61,104.01,1751387,50.2969263535,50.6462442562,50.2678165283,50.4618820298,3502774,0.0,1.0
HDB,2018-08-02 00:00:00+00:00,104.2,104.21,102.64,103.23,1012602,50.554063143,50.5589147805,49.7972076871,50.0834543018,2025204,0.0,1.0
HDB,2018-08-03 00:00:00+00:00,103.99,104.45,103.78,104.01,648386,50.4521787547,50.6753540814,50.3502943664,50.4618820298,1296772,0.0,1.0
HDB,2018-08-06 00:00:00+00:00,103.15,104.07,102.77,103.68,655964,50.0446412015,50.490991855,49.8602789751,50.301777991,1311928,0.0,1.0
HDB,2018-08-07 00:00:00+00:00,103.82,104.35,102.72,103.68,790368,50.3697009166,50.6268377061,49.8360207874,50.301777991,1580736,0.0,1.0
