symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TATLY,2018-05-10 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-11 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-14 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-15 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-16 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-17 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-18 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-21 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-22 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-23 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-24 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-25 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-29 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-30 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-05-31 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-06-01 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-06-04 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-06-05 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-06-06 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
TATLY,2018-06-07 00:00:00+00:00,14.4232,14.4232,14.4232,14.4232,0,12.2220718538,12.2220718538,12.2220718538,12.2220718538,0,0.0,1.0
